device_id,ix,iy,grid_position,status,trend_state,suspicion_level,suspicion_score,is_control_device,baseline_leakage_at_1v_A,latest_leakage_at_1v_A,latest_breakdown_voltage_V,leakage_ratio_vs_baseline,stress_batch_count,stress_cycles_total,breakdown_events,n_measurements,confirmatory_count,inconsistent_confirmatory_count,suspicion_reasons
CAP_00_00,0,0,corner,healthy,stable,none,0.0,False,1.3076e-12,1.8046e-12,,1.3801e+00,5,25,0,26,0,0,
CAP_00_01,1,0,edge,healthy,stable,none,0.0,False,4.4949e-12,1.2324e-11,1.2000e+01,2.7417e+00,3,11,1,12,0,0,
CAP_00_02,2,0,corner,healthy,stable,none,0.0,False,1.2278e-12,1.5783e-12,,1.2854e+00,5,25,0,26,0,0,
CAP_01_00,0,1,edge,contact_issue,insufficient_data,low,0.3,False,,-1.7316e-13,,,0,0,0,2,1,0,open_circuit_measurement: near-zero current trace suggests bad probe contact (I_max = 5.64e-14 A)
CAP_01_01,1,1,center,healthy,insufficient_data,low,0.3,True,8.8807e-13,1.0087e-12,,1.1358e+00,0,0,0,2,0,0,consecutive_device_failures: 2 consecutive device failures (threshold for suspicion: 2)
CAP_01_02,2,1,edge,healthy,stable,none,0.0,False,1.5993e-12,2.0447e-12,,1.2785e+00,5,25,0,26,0,0,
CAP_02_00,0,2,corner,shorted,insufficient_data,medium,0.45,False,,1.2234e-03,2.5000e-01,,0,0,0,1,0,0,high_leakage_vs_neighbors: leakage 723274958× above neighbor median (critical threshold: 30×)
CAP_02_01,1,2,edge,failed,near_breakdown,critical,1.0,False,1.1209e-11,3.4281e-11,7.2500e+00,3.0584e+00,3,11,2,12,0,0,consecutive_device_failures: 2 consecutive device failures (threshold for suspicion: 2); high_leakage_vs_neighbors: leakage 19.0× above neighbor median (suspicious threshold: 8×); rapid_temporal_degradation: trend state = NEAR_BREAKDOWN (compliance hit in 62% of recent sweeps)
CAP_02_02,2,2,corner,failed,near_breakdown,critical,1.0,False,5.1732e-12,1.1676e-11,7.2500e+00,2.2571e+00,3,11,2,15,3,0,consecutive_device_failures: 3 consecutive device failures (threshold for suspicion: 2); rapid_temporal_degradation: trend state = NEAR_BREAKDOWN (compliance hit in 62% of recent sweeps); sudden_failure_after_healthy_streak: 3 consecutive failures following a run of 5 healthy devices — sudden contact or probe degradation suspected
